CODE	GENES	LNZ308.DMSO	LNZ308.AZD6738	LN229.DMSO	LN229.AZD6738
SULT1A3_18476	SULT1A3	1075	1087	910	1198
SEC14L4_68000	SEC14L4	1064	950	644	823
SSPN_21263	SSPN	808	703	727	766
KCNC4_9991	KCNC4	1326	1441	1528	1809
PTCD2_50009	PTCD2	1695	2310	1834	2234
CYP20A1_45416	CYP20A1	657	668	720	716
COMMD8_41104	COMMD8	1073	1158	1076	936
MID1_11488	MID1	638	628	409	292
TRIM54_45165	TRIM54	1183	1392	1285	1505
ASGR1_1248	ASGR1	1498	1422	1499	1249
INTS4_56110	INTS4	168	170	608	611
IGSF1_9359	IGSF1	679	857	664	751
FBXO36_59886	FBXO36	1419	1450	1203	1426
OR5M1_71671	OR5M1	679	776	466	629
DGCR8_40050	DGCR8	119	146	330	363
LAMB3_10487	LAMB3	2830	3195	2515	2569
KIAA0930_32425	KIAA0930	894	807	776	1055
ZBTB26_46210	ZBTB26	668	623	577	793
IGF2R_9302	IGF2R	626	712	585	707
CPNE4_59904	CPNE4	1333	1439	1274	1532
LTV1_54573	LTV1	410	657	700	536
ARSH_69847	ARSH	1227	1540	1255	1466
CDC42EP5_61966	CDC42EP5	520	522	477	618
BEX1_43602	BEX1	367	462	379	466
IQSEC3_72863	IQSEC3	2500	2686	2469	2374
SEL1L3_32161	SEL1L3	786	1082	866	1036
WDR1_26536	WDR1	78	71	508	474
GZMK_8074	GZMK	935	913	911	839
NR2F2_19030	NR2F2	269	529	328	321
PLXND1_31809	PLXND1	814	854	832	859
PAK2_13281	PAK2	628	1165	817	1106
KRTAP4-8_74596	KRTAP4-8	855	947	1326	1752
BCL2L2_1648	BCL2L2	1497	1593	1178	1238
C4orf19_42204	C4orf19	2854	3375	2638	2495
LEFTY1_28759	LEFTY1	650	592	421	628
JAG2_9895	JAG2	543	670	486	462
NGFR_12592	NGFR	744	777	726	1059
ZBTB1_31133	ZBTB1	329	377	388	486
COL13A1_3647	COL13A1	273	245	290	368
LIPJ_61132	LIPJ	1347	1149	1330	1279
GTF3A_7971	GTF3A	104	74	547	702
DCAF12_33913	DCAF12	1170	1567	1124	1156
RBFOX2_33109	RBFOX2	452	440	617	734
DOK4_43125	DOK4	1341	1529	1374	1613
UPK2_20011	UPK2	697	688	554	740
LPAR2_24084	LPAR2	1079	1405	1052	1288
TMX3_40070	TMX3	467	485	427	384
ARID3C_60603	ARID3C	473	575	331	395
PHF2_13860	PHF2	916	1155	972	1217
PLEKHA8_54112	PLEKHA8	737	944	661	871
IDS_9164	IDS	1645	2244	2082	1878
C3orf22_62608	C3orf22	1978	2340	2245	2379
DTX1_5132	DTX1	482	496	530	569
ZDHHC16_53358	ZDHHC16	1120	1114	1340	1479
PELP1_35474	PELP1	77	72	776	641
ITIH2_9839	ITIH2	664	709	489	617
ASPHD2_45186	ASPHD2	703	936	891	967
DCT_4587	DCT	1554	1920	1148	1206
CNBD2_61075	CNBD2	608	773	808	867
CH17-360D5.1_76281	CH17-360D5.1	712	707	650	628
RERE_1319	RERE	438	467	378	407
FBXO21_31460	FBXO21	1463	1539	1080	1548
TDRD3_51657	TDRD3	714	880	609	504
PCBP2_13384	PCBP2	701	357	1213	1162
ZBTB1_31134	ZBTB1	584	477	706	696
SLC25A30_66307	SLC25A30	959	1040	784	1064
BLOC1S6_34861	BLOC1S6	950	1399	1074	1547
EDN3_5288	EDN3	1300	1589	1386	1433
CLNK_57776	CLNK	699	951	606	665
ACSL4_6052	ACSL4	1220	1419	1572	1816
MDFI_11272	MDFI	572	603	326	465
IL20RA_39646	IL20RA	631	782	562	481
XPO4_47641	XPO4	1148	1847	1020	1217
ODF4_61683	ODF4	815	794	560	516
TSPY3_74585	TSPY3	1509	1673	1460	1560
KCNC2_9984	KCNC2	1381	1386	1182	1470
STEAP1_35314	STEAP1	1403	1552	1381	1393
RPS20_16592	RPS20	25	62	836	779
ZNF20_20511	ZNF20	593	641	644	575
EIF2S1_5418	EIF2S1	98	154	887	985
ZNF79_20611	ZNF79	503	562	457	374
ZNF791_63611	ZNF791	1703	1907	1248	1212
TMEM45B_58235	TMEM45B	759	782	997	1019
TCEANC2_59355	TCEANC2	639	728	681	752
FAM175A_52990	FAM175A	1041	1383	1072	1057
LEF1_38050	LEF1	852	855	591	597
PTCD2_50010	PTCD2	1408	1743	1715	1642
USP16_28627	USP16	596	781	796	741
PSMD3_15248	PSMD3	68	83	442	452
SSFA2_18255	SSFA2	521	504	522	563
NUP93_25619	NUP93	144	325	485	399
RARB_15836	RARB	434	423	494	532
CCND1_1632	CCND1	33	90	431	492
CYP8B1_4418	CYP8B1	652	700	829	960
KIAA0930_32426	KIAA0930	507	664	717	737
RDM1_64883	RDM1	628	638	299	464
SUMO1_19891	SUMO1	745	864	905	669
GPX3_7672	GPX3	924	1177	849	725
RAB6A_15672	RAB6A	128	161	1646	1910
DIS3_31145	DIS3	106	133	635	686
LOC101929372_76388	LOC101929372	703	756	499	704
DGKK_60672	DGKK	481	480	423	589
ARRDC4_56063	ARRDC4	1747	1659	1496	1539
PCYOX1_38788	PCYOX1	530	629	453	626
USP17L29_74696	USP17L29	232	186	316	294
USP17L11_75589	USP17L11	1092	1193	870	813
SLC10A3_21496	SLC10A3	885	1006	822	917
NEURL1B_40062	NEURL1B	836	910	990	988
FAM160A1_74986	FAM160A1	1471	1708	946	1182
GDF5_21396	GDF5	289	321	396	390
VNN2_23263	VNN2	1321	1288	1176	1386
PLP1_14200	PLP1	910	1249	992	960
CYHR1_37286	CYHR1	552	593	417	637
DICER1_32716	DICER1	403	463	696	705
PTGS1_15362	PTGS1	469	552	528	620
CKLF-CMTM1_76129	CKLF-CMTM1	850	905	560	698
NLRP11_65148	NLRP11	902	1041	677	785
IFRD2_21019	IFRD2	657	584	618	658
HIST1H4A_21734	HIST1H4A	1215	1398	772	1151
NUP210_32144	NUP210	693	678	636	778
CLIC3_23611	CLIC3	547	605	542	638
SAMD7_69618	SAMD7	510	593	660	852
ZNF622_55480	ZNF622	2262	2248	1865	1955
ANKMY1_38346	ANKMY1	1403	1497	1217	1518
COL16A1_3656	COL16A1	1653	1673	1611	2094
FAM24A_58064	FAM24A	408	498	457	388
PAPL_71884	PAPL	1543	1437	1291	1533
ZDHHC21_69180	ZDHHC21	368	493	521	526
SETD5_41937	SETD5	377	332	444	432
DUOX1_39682	DUOX1	1240	1519	1469	1946
ZNF681_61979	ZNF681	433	354	394	340
C8orf58_73509	C8orf58	2105	1833	1383	1797
KIF2A_10154	KIF2A	706	984	667	682
CAPN15_17948	CAPN15	501	619	539	527
TRIM33_39093	TRIM33	1448	1489	981	1309
CNTN5_39710	CNTN5	1208	1240	1290	1249
PLBD1_50266	PLBD1	782	750	499	645
FAM133B_66919	FAM133B	410	331	393	481
NUDT3_30338	NUDT3	1732	2126	1532	1476
TMED1_29865	TMED1	1092	1455	1216	1341
ARL6_52901	ARL6	2323	2314	1783	1834
