CODE	GENES	LNZ308.DMSO	LNZ308.AZD6738	LN229.DMSO	LN229.AZD6738
MYT1_12157	MYT1	578	587	656	844
SDE2_63730	SDE2	378	518	598	786
ZZZ3_34328	ZZZ3	988	962	1140	1123
GRIP1_32783	GRIP1	276	443	565	552
ZNF549_66698	ZNF549	1143	1343	786	798
ATL2_47568	ATL2	333	380	525	575
PDE4DIP_25522	PDE4DIP	191	154	799	779
DNAI2_47807	DNAI2	465	428	628	561
ZNF326_67966	ZNF326	608	727	524	803
CA4_2105	CA4	1076	1209	797	875
ZNF227_20862	ZNF227	862	1045	730	862
ZNF789_68330	ZNF789	406	597	491	537
PLA2R1_31248	PLA2R1	1485	1492	1592	1396
CLIP1_16666	CLIP1	2343	2528	2301	2602
RARA_15830	RARA	1650	1873	1627	2067
TEX2_43580	TEX2	1180	1062	1253	1251
TDRD6_65777	TDRD6	614	678	842	879
TMPRSS6_63785	TMPRSS6	762	669	498	575
GPD2_7470	GPD2	1433	1561	1392	1397
FAM96A_53091	FAM96A	1691	2254	2211	2602
ATG4C_54543	ATG4C	1450	1469	1787	2059
MRPL55_59493	MRPL55	577	969	1546	1783
SWSAP1_59029	SWSAP1	1713	1998	1459	1632
MEIOB_66481	MEIOB	2432	2565	2026	2293
SPA17_39536	SPA17	798	629	817	885
TMPRSS11E_36292	TMPRSS11E	1199	1815	1186	1301
PTPRA_15458	PTPRA	537	627	524	407
C1orf167_67901	C1orf167	1837	2357	1906	2194
VSTM5_70861	VSTM5	906	954	997	941
GUCY1A2_7986	GUCY1A2	3231	3421	2924	3304
FAM219B_45227	FAM219B	2744	2919	2771	3417
RP1L1_56721	RP1L1	429	570	471	454
ATP13A4_53187	ATP13A4	685	706	559	647
S1PR5_39611	S1PR5	2324	2232	1804	2150
RGS11_22965	RGS11	833	1107	889	1059
TRIM47_55731	TRIM47	2507	2802	2398	2281
ASCC2_53027	ASCC2	1235	1642	1264	1433
INPP4A_9626	INPP4A	1747	1509	2158	2350
MYC_11993	MYC	255	467	1188	1233
C4orf3_72373	C4orf3	605	587	640	575
SPATA31A3_74482	SPATA31A3	264	144	650	468
TEX101_52304	TEX101	1961	1787	1664	1996
ELOVL4_18390	ELOVL4	2045	2342	1715	2078
DZIP1L_64541	DZIP1L	1063	1165	1164	1267
PROX2_67414	PROX2	695	672	638	655
EXPH5_31684	EXPH5	1028	1245	927	1102
TTBK1_53884	TTBK1	564	903	855	859
CPA2_3766	CPA2	1046	955	731	614
EXPH5_31685	EXPH5	1433	1409	1250	1267
SLC39A11_64870	SLC39A11	2390	2584	2353	2278
EXO1_24049	EXO1	831	781	705	910
ADGRF3_63809	ADGRF3	1175	1652	1308	1311
SCYL3_45119	SCYL3	640	536	861	1055
C4B_1989	C4B	517	505	440	447
PDP1_40417	PDP1	977	1044	962	951
TLE6_50031	TLE6	559	711	434	589
COL7A1_3606	COL7A1	503	528	613	915
KCTD16_45731	KCTD16	1242	1290	1339	1186
GCNT1_7006	GCNT1	974	1100	1004	1184
YARS_22337	YARS	122	99	521	535
MAML2_53604	MAML2	690	772	883	1337
RNF17_44085	RNF17	807	1228	1059	826
BZW1_25622	BZW1	488	433	442	456
POTEE_73323	POTEE	528	711	536	757
VGLL3_71297	VGLL3	2974	2925	3038	3391
MTFMT_58605	MTFMT	144	240	664	551
ARL1_1157	ARL1	645	1000	1580	2150
LRRC69_75312	LRRC69	450	467	342	387
NBEA_35335	NBEA	2897	4091	2966	3297
IQSEC2_31719	IQSEC2	1689	1782	1385	1673
ULK4_41232	ULK4	832	761	609	859
ZFP36_20417	ZFP36	1159	1350	1159	1521
FNDC4_48131	FNDC4	2012	2035	2308	2715
ZNF597_61589	ZNF597	1556	1927	1421	1692
PSPN_14981	PSPN	907	1025	940	832
THADA_47072	THADA	1940	1838	1974	2296
GPC4_6209	GPC4	1021	842	891	1046
QSER1_50084	QSER1	1422	1549	1463	1892
EPPK1_52175	EPPK1	660	496	467	446
PCDHGA8_25690	PCDHGA8	971	1190	1021	1119
POU5F2_60225	POU5F2	928	1088	1148	883
GDF15_25077	GDF15	2421	2975	1865	2154
NPIPB3_31780	NPIPB3	1508	1817	1777	1944
MCU_55528	MCU	642	938	829	790
C14orf93_47027	C14orf93	941	719	893	769
DMRT2_28816	DMRT2	472	754	661	697
ZNF365_31135	ZNF365	1641	1705	1404	1831
OR2W5_73217	OR2W5	809	1199	606	834
FGF8_6261	FGF8	539	552	907	907
KANK4_63721	KANK4	630	678	562	733
DEFB115_66151	DEFB115	1121	1118	1250	1675
CLCA4_30871	CLCA4	1477	1601	1722	2047
LRRD1_72417	LRRD1	1552	1639	1596	1567
BTNL9_62805	BTNL9	2462	2421	2490	2849
GSTM2_7894	GSTM2	1448	1414	1746	1827
HEXB_8293	HEXB	903	1335	772	942
MTMR10_40919	MTMR10	616	933	872	760
CCDC51_49719	CCDC51	282	300	468	684
STIM2_46043	STIM2	1341	1476	1181	1379
ARHGEF10_25445	ARHGEF10	2096	2446	1884	2059
XRN1_39983	XRN1	673	655	976	836
SEMA3C_28326	SEMA3C	1801	1672	1811	1960
ITLN1_42747	ITLN1	1570	1695	1335	1484
LYRM4_45068	LYRM4	627	552	1103	1387
ATP2A2_1369	ATP2A2	15	34	364	475
AMIGO2_69902	AMIGO2	1205	1219	1254	1616
LAMB2_10482	LAMB2	795	935	620	826
CNOT6L_66197	CNOT6L	2569	4189	2511	2985
ATG16L2_55163	ATG16L2	1121	1240	1249	1298
BRAP_21573	BRAP	407	334	255	291
ZBTB8A_74239	ZBTB8A	875	621	1148	1156
NOV_12741	NOV	2303	2399	2273	2556
EFCAB3_61657	EFCAB3	757	889	779	624
OR5H2_49151	OR5H2	2029	2264	2455	2418
SLC24A3_45460	SLC24A3	620	935	505	797
CNNM1_35080	CNNM1	1368	1610	1459	1813
UPF3B_48424	UPF3B	1040	1538	1149	1022
ZSWIM2_62437	ZSWIM2	498	614	660	612
CYSLTR2_44991	CYSLTR2	1418	1743	1023	1390
SSFA2_18253	SSFA2	935	720	698	688
FANCD2_6033	FANCD2	805	509	515	699
HINT3_60326	HINT3	986	1093	660	547
BDKRB2_1693	BDKRB2	2388	2527	2525	2376
RALGPS1_25481	RALGPS1	557	632	662	676
RGMB_68265	RGMB	1514	1633	1060	1415
OXNAD1_56114	OXNAD1	1508	1808	1432	1629
MYBPC1_11974	MYBPC1	2489	2595	2166	2328
SFXN4_58150	SFXN4	906	1236	1064	866
GTF2A1L_29919	GTF2A1L	585	550	800	799
POMZP3_31275	POMZP3	842	832	699	929
TMEM196_66710	TMEM196	996	1022	997	1344
TEAD1_18947	TEAD1	85	139	335	294
CNIH4_36459	CNIH4	1627	1968	1451	1425
SLCO3A1_36163	SLCO3A1	321	478	373	538
SLC25A5_815	SLC25A5	385	374	465	607
ATAD2_36347	ATAD2	392	410	650	720
BRD9_48529	BRD9	816	879	912	1122
NXPE1_58253	NXPE1	561	366	801	691
CC2D1B_64638	CC2D1B	445	406	457	582
OR2Z1_67817	OR2Z1	2174	2490	2003	2546
KCNA5_9957	KCNA5	2462	2909	2823	2678
ADGRG4_60701	ADGRG4	658	709	750	847
TNFRSF10B_22997	TNFRSF10B	2219	2273	2191	2593
ARHGAP18_56594	ARHGAP18	2798	2680	2120	2680
CAMKV_48708	CAMKV	670	658	915	804
CAMK4_2249	CAMK4	544	747	716	752
HIST3H2BB_59497	HIST3H2BB	349	410	688	816
ZNF18_20502	ZNF18	760	805	908	1078
CMBL_60222	CMBL	2517	2926	2085	2967
KRT82_10411	KRT82	1885	1982	1801	1891
SPINK1_18066	SPINK1	2393	2070	1886	1868
SGPL1_23278	SGPL1	635	560	619	917
HIST1H2BO_21689	HIST1H2BO	1351	1263	1955	2343
KCNN2_10106	KCNN2	556	818	563	534
HNRNPH3_8606	HNRNPH3	2060	2443	1903	2262
PLEKHM3_71253	PLEKHM3	2049	2138	1551	1770
MBIP_39040	MBIP	546	482	605	624
SELL_17125	SELL	1090	1321	1010	1279
TMEM109_48860	TMEM109	713	722	858	778
ZNF230_20873	ZNF230	644	780	587	630
KIAA1468_46023	KIAA1468	1042	1422	1147	1451
LMLN_55111	LMLN	1030	1134	1032	1292
SLC44A5_65154	SLC44A5	670	964	582	1024
ANGPT1_785	ANGPT1	1860	2152	1735	1855
ARG1_1098	ARG1	994	1289	1091	1261
DNAJC24_58267	DNAJC24	652	665	884	930
ZNF491_59022	ZNF491	1819	2098	1644	2086
NAIP_12185	NAIP	1487	1709	1952	1747
RASA2_15861	RASA2	1285	1496	1036	1128
BPIFA3_59626	BPIFA3	1321	1250	1572	1327
OR5H2_49152	OR5H2	783	576	842	1066
SEC11C_55604	SEC11C	1892	1843	1919	2179
CT47A7_74282	CT47A7	667	783	716	575
PPID_14537	PPID	1583	1556	1607	1749
CUL2_21981	CUL2	360	429	594	808
GSS_7870	GSS	437	395	626	635
ZNF559_53748	ZNF559	897	867	871	903
KIAA0226L_50859	KIAA0226L	990	1180	1010	1535
ATRAID_38633	ATRAID	1366	1171	1179	1570
SLC7A3_54376	SLC7A3	2756	2811	2210	2549
CYP3A7_4355	CYP3A7	731	676	743	538
KRTAP19-6_68661	KRTAP19-6	953	956	820	1030
CYP3A5_4401	CYP3A5	596	573	449	596
KIAA0319_26203	KIAA0319	705	821	755	685
ETNPPL_48168	ETNPPL	717	911	868	1220
TSPYL6_71225	TSPYL6	2113	2871	1815	2129
FSTL5_44456	FSTL5	482	729	493	807
BRWD1_39725	BRWD1	1127	1617	1307	1631
AGBL2_50115	AGBL2	504	473	674	553
KRAS_10298	KRAS	664	1023	983	1215
PHACTR3_57669	PHACTR3	1137	1504	1090	1283
DEPDC7_55913	DEPDC7	1422	1178	1136	1165
CBS_2450	CBS	415	426	383	607
GSTK1_70229	GSTK1	2100	2139	1511	1786
ANKRD62_69421	ANKRD62	1120	1346	810	1303
YY1_20385	YY1	270	453	693	993
CSE1L_4005	CSE1L	104	112	367	514
OXT_13165	OXT	1888	2017	2072	2420
SLAMF1_17421	SLAMF1	1222	1341	1299	1640
HPGDS_35996	HPGDS	788	963	520	766
ARAP2_57861	ARAP2	499	402	380	387
HMGN5_49187	HMGN5	722	1033	913	927
DTWD1_44779	DTWD1	1370	1510	1357	1663
NUCB2_12929	NUCB2	3158	2983	3119	3490
BVES_30276	BVES	1335	1716	1297	1491
PROP1_14994	PROP1	2948	3518	2827	2788
IRF5_9714	IRF5	1768	2042	1854	2040
C1orf106_43304	C1orf106	1057	1461	2042	1639
TARSL2_58613	TARSL2	1312	1287	1488	1764
PPM1A_14545	PPM1A	1129	808	803	1106
MAGED2_29536	MAGED2	1575	1644	1422	1525
MSANTD2_49627	MSANTD2	393	622	351	572
ERGIC3_39143	ERGIC3	1090	1110	1205	1380
PET100_75398	PET100	1469	1661	1407	1766
LOC339862_69041	LOC339862	957	964	911	892
SUMO4_70717	SUMO4	1220	1243	1285	1608
CTAGE4_75165	CTAGE4	936	954	1587	1210
SLC35E2B_74758	SLC35E2B	804	1014	1049	1185
CMAS_43712	CMAS	2156	2745	2052	1942
LYPLAL1_59270	LYPLAL1	994	1294	781	1115
MXRA5_33967	MXRA5	734	851	658	682
MACC1_69737	MACC1	2208	2721	1742	2588
ACOT2_29699	ACOT2	2906	3016	2815	3121
THRAP3_26589	THRAP3	818	789	800	993
TUBB_65029	TUBB	109	78	828	904
TUBB2A_19726	TUBB2A	808	805	1140	1340
VPS13D_41858	VPS13D	486	446	859	978
PRKD1_14853	PRKD1	2210	2570	1535	2119
AQP7_1042	AQP7	1391	1536	1246	1490
FSD1L_52535	FSD1L	518	665	534	675
AADAT_38015	AADAT	998	1008	987	995
SCAMP2_26889	SCAMP2	2519	3297	2641	3055
DCTN1_4589	DCTN1	595	781	1975	2038
MRPL41_48311	MRPL41	228	524	1521	1758
TPT1_19529	TPT1	446	865	1334	1144
SNX10_36699	SNX10	1857	1913	1513	1939
TAF6L_28725	TAF6L	1862	2730	1801	1426
RINL_59161	RINL	1587	1527	1081	1204
FAM117A_51687	FAM117A	1246	1194	1122	1304
CD300LF_61642	CD300LF	931	1118	852	966
ARHGAP24_52163	ARHGAP24	1769	2287	2345	2501
PSIP1_30350	PSIP1	815	1002	858	792
HOXA10_8661	HOXA10	1169	1284	1187	1276
ZNF148_20717	ZNF148	625	779	783	668
NECAB1_47487	NECAB1	2072	2357	1655	1899
PRKCH_14837	PRKCH	1362	1833	1653	1682
NOP10_42559	NOP10	160	188	2037	2067
STAG1_27594	STAG1	1444	1466	1483	1664
NUDT6_30323	NUDT6	694	880	792	982
EXOSC7_31467	EXOSC7	1825	2010	2532	2771
DGKI_24062	DGKI	1625	1350	1357	1422
SYNC_51607	SYNC	1122	965	773	1015
VSTM5_70862	VSTM5	2057	2284	1826	2167
CACNA1C_2145	CACNA1C	1066	1297	1021	1098
CD209_37119	CD209	1003	1308	617	727
PEA15_22669	PEA15	2141	2399	2167	2549
MARCH7_48151	MARCH7	2488	2743	2213	2364
RBM5_27273	RBM5	1398	1901	1514	1682
CHL1_29071	CHL1	691	841	753	720
TUBA8_39507	TUBA8	723	755	573	704
VPS33A_48400	VPS33A	1150	1291	2710	2942
LINGO1_54395	LINGO1	945	1014	1178	1157
CLEC12B_70869	CLEC12B	1777	2435	1904	1904
SEC11A_32912	SEC11A	673	1075	631	817
HUS1B_60357	HUS1B	1121	1391	1172	1119
RNF138_38779	RNF138	1129	1295	827	825
SLC5A6_23297	SLC5A6	1464	1377	1151	1335
KRT23_34268	KRT23	1239	1380	1943	1762
RBMY1A1_15930	RBMY1A1	2933	3077	2388	2797
SEC31B_34187	SEC31B	592	839	437	649
ASB10_60441	ASB10	1461	1769	1557	2009
PACS1_43039	PACS1	429	576	612	609
ODF3L2_67881	ODF3L2	1044	1101	645	710
KATNAL2_52155	KATNAL2	882	811	887	899
PLCB4_14117	PLCB4	1040	1311	675	1003
RAD52_15760	RAD52	1780	2110	1635	1876
CENPBD1_56357	CENPBD1	654	663	806	924
RIBC2_34667	RIBC2	1143	1013	733	898
CARD18_46716	CARD18	983	933	1207	1189
SCEL_23001	SCEL	2339	2844	2475	2852
CXorf38_63261	CXorf38	920	870	845	894
AGMO_72061	AGMO	1115	1227	1211	1048
AURKC_18425	AURKC	1299	1409	1142	1323
PZP_15621	PZP	2246	2412	1889	1915
ZDHHC7_42839	ZDHHC7	1253	1373	1310	1368
TMEM176B_36219	TMEM176B	1100	1294	1300	1383
BRIP1_52751	BRIP1	976	1015	1028	1261
LRRC15_59965	LRRC15	2168	2135	1937	2481
SP140_30635	SP140	692	730	750	661
KCNA2_9946	KCNA2	880	673	952	953
WBSCR22_57086	WBSCR22	235	264	1877	1730
CCNA1_23356	CCNA1	1102	1493	753	958
SLC22A25_70785	SLC22A25	544	657	502	473
MYH7_12042	MYH7	683	756	796	927
PPIL4_54795	PPIL4	160	177	592	849
ESCO2_63018	ESCO2	718	445	836	810
COQ6_37499	COQ6	1082	1454	1672	1948
MARCH1_41331	MARCH1	850	682	900	736
OR51T1_72501	OR51T1	2468	2515	2462	2397
PRODH_14989	PRODH	811	801	1040	1397
GJB1_7161	GJB1	1530	1903	1524	1683
HES4_46403	HES4	967	1131	1026	1322
MARCH10_63503	MARCH10	1256	1215	1221	1520
ATF4_1305	ATF4	729	988	1254	1500
DOC2A_21961	DOC2A	3357	3175	3145	3415
CCDC83_65541	CCDC83	2893	3120	2646	3009
TREH_30395	TREH	789	916	728	717
TCL1B_25393	TCL1B	400	271	737	783
GLRA3_21170	GLRA3	945	1027	690	920
LOXL4_53043	LOXL4	1170	1202	1125	1105
PRKACB_14782	PRKACB	736	757	813	858
POLE_14345	POLE	86	49	722	929
DLEC1_26506	DLEC1	150	176	792	716
PRKRA_22373	PRKRA	887	855	1727	1871
TBL3_28645	TBL3	89	52	937	710
BCS1L_1682	BCS1L	330	452	572	787
WDR41_42101	WDR41	790	1048	811	827
OPRK1_13058	OPRK1	2407	3021	2165	2455
NDUFB7_12337	NDUFB7	1093	1876	2139	1986
GNAT1_7333	GNAT1	597	700	776	875
SLC52A3_56990	SLC52A3	656	989	745	888
ZNF550_63586	ZNF550	3768	4645	3491	4170
GNA13_28881	GNA13	2498	2985	2890	2679
NELFCD_38879	NELFCD	127	93	462	427
ERAP2_47483	ERAP2	796	863	732	819
UBTFL1_73704	UBTFL1	1147	1106	974	1070
ATP13A3_49287	ATP13A3	1315	1577	1459	1292
BTBD11_58409	BTBD11	1314	1449	1536	1523
ACD_48372	ACD	1052	1398	2196	2424
GAST_6633	GAST	625	488	904	914
UGGT2_43273	UGGT2	3548	3885	2380	2792
SCYL2_43016	SCYL2	1701	1915	1883	1945
XKRX_72561	XKRX	679	706	648	572
GABRA2_6741	GABRA2	980	974	707	898
DUSP19_61094	DUSP19	948	874	866	1121
OR10K1_71929	OR10K1	2801	2911	2216	2518
MEFV_11330	MEFV	544	701	504	673
ZKSCAN2_69385	ZKSCAN2	1971	2415	2219	2152
TRIM41_55676	TRIM41	634	697	822	814
FOXA3_8549	FOXA3	699	822	786	1095
LAGE3_21489	LAGE3	231	245	656	591
SPANXD_47871	SPANXD	2394	2490	1680	2171
PRG2_14741	PRG2	853	722	882	967
RAB33A_24606	RAB33A	2759	2720	2701	2951
FBXL12_40760	FBXL12	1227	1646	1272	1385
CC2D1A_40807	CC2D1A	1132	1476	992	1100
GOLGA6L2_67465	GOLGA6L2	1320	1531	1463	1736
FBN2_6113	FBN2	1156	1353	1101	1046
PSMD10_15269	PSMD10	646	796	642	614
RBMS3_35988	RBMS3	3313	3830	2778	2773
FEM1C_44616	FEM1C	892	904	802	811
ZMAT5_43768	ZMAT5	355	463	522	779
PLA2G4C_22418	PLA2G4C	645	894	697	755
RLN3_57981	RLN3	1334	2098	1862	1721
LDB1_23221	LDB1	866	767	918	1126
SLC7A13_63046	SLC7A13	2189	2826	2147	2384
BPHL_1853	BPHL	2604	2682	2052	2434
LSMEM1_68333	LSMEM1	1356	1471	1213	1672
TGFB2_19086	TGFB2	523	813	553	657
SLC25A26_57449	SLC25A26	278	505	1287	1269
RGS7_16106	RGS7	3295	3563	3264	3412
GNG2_39847	GNG2	1004	1168	1253	1072
PRKRIR_14953	PRKRIR	93	128	676	747
HIST1H2BJ_23495	HIST1H2BJ	144	106	792	929
BANF2_61013	BANF2	1517	1775	1219	1818
ARSD_1205	ARSD	1123	1053	1155	1415
ZNF442_50500	ZNF442	883	1110	978	850
BICD1_1722	BICD1	1634	2582	1894	2232
HAL_8166	HAL	694	1048	704	899
HIST2H2BE_21694	HIST2H2BE	210	183	1020	745
ART3_1222	ART3	848	1344	899	1089
C3orf79_62626	C3orf79	1990	2447	1592	1785
TMED10_29719	TMED10	400	528	1181	1611
TACC2_28561	TACC2	2444	2538	2747	3038
CALM3_2233	CALM3	915	1388	1375	1496
VHLL_71922	VHLL	1705	1860	1670	1825
AKAP11_30489	AKAP11	557	582	556	604
VPS33B_34919	VPS33B	376	571	527	530
SNTA1_17910	SNTA1	915	963	1320	1440
PARD6A_37423	PARD6A	1031	1213	873	965
OR2W1_35260	OR2W1	2294	2195	2249	2243
CHCHD10_72301	CHCHD10	3055	3486	3235	3782
ITGA6_9685	ITGA6	1269	1385	1122	1329
OR1E2_21805	OR1E2	2221	2490	1627	1990
SNRPF_17898	SNRPF	67	45	1367	1172
PPP3R2_14681	PPP3R2	1481	1491	1547	1624
RPS3_16490	RPS3	88	188	2515	2392
PPP3R1_14678	PPP3R1	1600	1584	1459	1577
RNF111_40552	RNF111	461	555	665	504
WDR38_72478	WDR38	204	251	110	228
ADAMTS16_64214	ADAMTS16	1119	1430	1170	1257
PKP1_14062	PKP1	1952	2418	1990	2142
ERCC6-PGBD3_76330	ERCC6-PGBD3	1376	1521	1612	1679
GRHL2_50507	GRHL2	317	498	694	699
SPINK14_72721	SPINK14	1094	1409	1422	1418
PFKFB3_13745	PFKFB3	586	1030	752	943
DLAT_4794	DLAT	2011	1956	2148	1863
ZAN_20217	ZAN	881	682	822	818
TUBG1_19729	TUBG1	207	187	702	847
METTL16_48839	METTL16	496	814	1177	1246
TINAG_35911	TINAG	2212	2136	1807	1984
PAGE1_22757	PAGE1	1920	1866	1912	2411
OR4K13_71777	OR4K13	546	695	670	763
COPB2_24378	COPB2	51	52	1093	921
CLSTN1_31107	CLSTN1	1768	2029	1666	1869
OR52A5_71554	OR52A5	750	664	729	595
HPD_8793	HPD	1039	1273	1130	1263
OR6T1_65422	OR6T1	923	1053	1067	911
LMX1A_10729	LMX1A	1839	1868	1603	1870
E2F3_5210	E2F3	494	592	651	786
DCN_4574	DCN	601	786	570	829
CLMP_50063	CLMP	1477	1222	1571	1419
VEGFA_20129	VEGFA	2009	2476	1906	2003
PCDHGB6_43888	PCDHGB6	2104	2199	1734	2173
SERTM1_72177	SERTM1	677	725	610	785
USP7_21037	USP7	785	603	779	557
ACTR6_47795	ACTR6	1266	1158	1086	1389
M6PR_10925	M6PR	1167	1408	1076	1332
ZMYND8_33315	ZMYND8	837	994	794	928
OR1J1_69784	OR1J1	829	1055	956	1080
PTGES3L-AARSD1_76255	PTGES3L-AARSD1	1183	1181	1193	1500
ARNT_1173	ARNT	303	474	447	648
SCMH1_31332	SCMH1	768	848	1173	1376
SETDB1_26250	SETDB1	371	510	1370	1388
GGA2_31611	GGA2	634	958	734	1015
KRT81_10405	KRT81	2267	2241	2150	1997
CCNI_29755	CCNI	2122	2192	2057	2085
CRB2_68389	CRB2	1070	1147	983	1247
PGAM1_13785	PGAM1	1202	1189	3250	3290
KRT83_10413	KRT83	1161	1360	1807	2032
CHAF1B_21406	CHAF1B	80	170	692	683
ACTL10_64162	ACTL10	2117	2310	2564	2841
B9D1_35519	B9D1	1117	1352	1277	1427
AHCYL1_29112	AHCYL1	1595	1508	1328	1911
TTLL9_63773	TTLL9	1362	1378	1245	1553
CTSL_4261	CTSL	1041	934	1035	1409
TRIM49B_67206	TRIM49B	1692	1346	1447	1502
CPOX_3813	CPOX	2464	3570	2555	2475
PLXNB2_33427	PLXNB2	2382	2888	2666	2663
SLPI_17729	SLPI	869	881	1100	1007
SNX25_52627	SNX25	682	689	885	1038
CLDN25_73942	CLDN25	657	742	722	1082
IL36A_35757	IL36A	452	789	636	491
USP45_54728	USP45	464	662	481	703
PNMA1_24273	PNMA1	2062	2298	1887	2095
EXOSC9_14278	EXOSC9	101	96	1813	2045
NIPSNAP3A_34128	NIPSNAP3A	1316	1607	1294	1309
UBQLN3_37251	UBQLN3	1556	1641	1602	1867
OMD_13009	OMD	966	1151	866	785
OLFM3_58009	OLFM3	638	537	490	796
SFMBT2_46308	SFMBT2	1221	1530	1150	1196
NPIPB5_75424	NPIPB5	867	1181	727	957
TMEM202_68837	TMEM202	925	1172	707	1151
OR4N2_71769	OR4N2	1733	1796	1848	2011
ERAP1_39432	ERAP1	2680	3214	2472	2801
TBC1D32_65754	TBC1D32	798	880	580	856
GLRX_7258	GLRX	2221	2667	2400	2714
FRMD5_54667	FRMD5	1453	1574	1660	1886
REPIN1_36647	REPIN1	624	857	841	777
TTLL5_31707	TTLL5	683	861	891	1192
TTL_62342	TTL	533	547	660	697
FAM47E_75220	FAM47E	701	1157	898	904
MAOA_11093	MAOA	849	718	768	1036
GNAS_7329	GNAS	1617	1544	1487	1652
LYSMD4_61465	LYSMD4	1048	1615	1475	1693
KDM5C_21465	KDM5C	580	508	487	368
NARFL_47783	NARFL	265	305	979	1423
TEF_18965	TEF	732	686	948	989
NHLH2_12597	NHLH2	2511	2444	2693	2933
NAP1L3_12199	NAP1L3	1236	1316	1042	1024
ATAD2_36348	ATAD2	759	607	724	805
RFPL3_29027	RFPL3	819	1144	771	975
PYROXD1_50337	PYROXD1	152	297	433	365
FNDC8_40488	FNDC8	1890	2261	2103	2078
AVL9_31668	AVL9	1274	1642	1763	1848
IFNA4_9209	IFNA4	1696	1673	1411	1507
OPTN_27111	OPTN	1573	1705	1470	1736
SPEF2_50376	SPEF2	1254	1424	1274	1318
KIAA0825_68217	KIAA0825	1824	2262	2066	2208
TRABD2A_59677	TRABD2A	585	656	613	728
GAPVD1_34625	GAPVD1	1095	1238	1272	1491
LRGUK_60437	LRGUK	1110	1580	1146	980
GABBR1_6726	GABBR1	761	974	825	960
RUVBL2_29331	RUVBL2	108	100	693	758
AHSG_546	AHSG	729	795	825	1112
DEFA5_4689	DEFA5	2289	2542	1886	2101
ARPP21_29139	ARPP21	776	942	726	841
KERA_30063	KERA	2048	2094	1848	2200
CDADC1_51751	CDADC1	837	891	739	922
INSL4_9654	INSL4	616	646	740	1001
NUP210L_55763	NUP210L	1451	1365	2311	2446
RLN1_16145	RLN1	1854	2031	1567	1820
SLC10A4_64937	SLC10A4	1468	1426	1053	1130
MTCL1_32247	MTCL1	1755	2011	1597	1908
LRRC32_6877	LRRC32	2165	2300	2392	2352
NCOA4_21206	NCOA4	1925	2131	2100	2486
EPT1_55011	EPT1	1121	1148	940	985
FRMD5_54668	FRMD5	488	646	537	661
SLC26A8_57734	SLC26A8	1092	1275	964	1256
ANKRD31_66689	ANKRD31	590	791	579	574
SLFN14_69413	SLFN14	742	986	615	824
STOML1_24714	STOML1	497	718	496	725
NME3_12665	NME3	588	774	707	829
BSPRY_40717	BSPRY	3352	3578	2954	3328
GABARAPL2_30835	GABARAPL2	1859	2409	1836	2056
CENPU_49620	CENPU	207	243	204	460
PAPOLB_44524	PAPOLB	2646	3406	2818	3172
BAMBI_33763	BAMBI	385	560	478	316
SULT1E1_18386	SULT1E1	640	1041	814	720
RPS27L_37669	RPS27L	731	802	623	710
EP400_46083	EP400	404	491	1052	1023
TSSC1_19661	TSSC1	1673	1593	1735	1931
SET_17163	SET	500	378	525	501
BDP1_43468	BDP1	979	864	721	824
HYOU1_28374	HYOU1	131	158	607	638
SLC26A6_48351	SLC26A6	467	320	730	608
EIF4A2_5437	EIF4A2	1191	1439	1350	1255
IQCJ-SCHIP1_75818	IQCJ-SCHIP1	1086	1306	746	789
RAD51AP1_28751	RAD51AP1	757	901	813	1055
KIAA1715_51448	KIAA1715	2574	2641	2233	2623
CHAT_3114	CHAT	599	680	721	788
RAB28_24609	RAB28	742	1061	822	1199
ASAH2B_74286	ASAH2B	516	539	518	494
PKLR_14045	PKLR	780	809	688	902
TMEM86A_61266	TMEM86A	1121	894	1115	1244
ZBTB7B_37615	ZBTB7B	1955	2047	1880	2152
RFNG_16049	RFNG	1941	2318	2065	2191
AARS2_45659	AARS2	145	283	457	544
VEPH1_49595	VEPH1	415	537	560	533
SETD4_39761	SETD4	496	700	456	623
SYCE1L_75333	SYCE1L	1869	2332	1448	1994
AP1AR_42512	AP1AR	642	795	734	815
ZNF517_69161	ZNF517	656	804	723	905
CHIA_35715	CHIA	905	1189	1206	1471
LOXL4_53044	LOXL4	1800	2031	1784	1862
SLC1A4_17441	SLC1A4	2004	2336	1877	2407
HNF1B_18825	HNF1B	550	732	879	961
PRR11_43323	PRR11	2554	2499	2637	2786
RPL35A_16426	RPL35A	467	495	1966	2131
NRIP1_21401	NRIP1	1329	1049	957	1272
RNF24_30560	RNF24	919	1129	964	1200
SMIM5_73738	SMIM5	1630	1696	1694	2037
C16orf13_53487	C16orf13	987	1098	939	1012
CNPY3_28940	CNPY3	1272	1545	1105	1333
STAT2_18347	STAT2	744	818	1423	1198
LMNB1_10710	LMNB1	598	738	700	720
SLC35E3_42572	SLC35E3	2221	2156	2009	2511
CCDC84_68761	CCDC84	89	104	1183	1113
BATF2_57626	BATF2	931	1246	916	880
CUL2_21982	CUL2	263	410	623	562
SMG5_32635	SMG5	224	502	578	606
C16orf93_55640	C16orf93	604	811	558	714
ARHGAP21_45928	ARHGAP21	824	1072	931	1134
LGALS1_10590	LGALS1	1138	1391	1323	1188
